date,year,isoWeek,month,day,epi_week,epi_year,Count
2011-11-20,2011,46,11,7,46,2011,63
2011-11-21,2011,47,11,1,47,2011,804
2011-11-22,2011,47,11,2,47,2011,434
2011-11-23,2011,47,11,3,47,2011,428
2011-11-24,2011,47,11,4,47,2011,338
2011-11-25,2011,47,11,5,47,2011,419
2011-11-26,2011,47,11,6,47,2011,146
2011-11-27,2011,47,11,7,47,2011,96
2011-11-28,2011,48,11,1,48,2011,676
2011-11-29,2011,48,11,2,48,2011,436
2011-11-30,2011,48,11,3,48,2011,498
2011-12-01,2011,48,12,4,48,2011,402
2011-12-02,2011,48,12,5,48,2011,391
2011-12-03,2011,48,12,6,48,2011,113
2011-12-04,2011,48,12,7,48,2011,73
2011-12-05,2011,49,12,1,49,2011,585
2011-12-06,2011,49,12,2,49,2011,632
2011-12-07,2011,49,12,3,49,2011,463
2011-12-08,2011,49,12,4,49,2011,364
2011-12-09,2011,49,12,5,49,2011,423
2011-12-10,2011,49,12,6,49,2011,170
2011-12-11,2011,49,12,7,49,2011,89
2011-12-12,2011,50,12,1,50,2011,611
2011-12-13,2011,50,12,2,50,2011,422
2011-12-14,2011,50,12,3,50,2011,440
2011-12-15,2011,50,12,4,50,2011,383
2011-12-16,2011,50,12,5,50,2011,385
2011-12-17,2011,50,12,6,50,2011,140
2011-12-18,2011,50,12,7,50,2011,73
2011-12-19,2011,51,12,1,51,2011,517
2011-12-20,2011,51,12,2,51,2011,433
2011-12-21,2011,51,12,3,51,2011,338
2011-12-22,2011,51,12,4,51,2011,287
2011-12-23,2011,51,12,5,51,2011,352
2011-12-24,2011,51,12,6,51,2011,95
2011-12-25,2011,51,12,7,51,2011,63
2011-12-26,2011,52,12,1,52,2011,427
2011-12-27,2011,52,12,2,52,2011,298
2011-12-28,2011,52,12,3,52,2011,283
2011-12-29,2011,52,12,4,52,2011,225
2011-12-30,2011,52,12,5,52,2011,212
2011-12-31,2011,52,12,6,52,2011,99
2012-01-01,2012,52,1,7,52,2011,56
2012-01-02,2012,1,1,1,1,2012,168
2012-01-03,2012,1,1,2,1,2012,161
2012-01-04,2012,1,1,3,1,2012,160
2012-01-05,2012,1,1,4,1,2012,152
2012-01-06,2012,1,1,5,1,2012,195
2012-01-07,2012,1,1,6,1,2012,86
2012-01-08,2012,1,1,7,1,2012,104
2012-01-09,2012,2,1,1,2,2012,192
2012-01-10,2012,2,1,2,2,2012,357
2012-01-11,2012,2,1,3,2,2012,332
2012-01-12,2012,2,1,4,2,2012,251
2012-01-13,2012,2,1,5,2,2012,222
2012-01-14,2012,2,1,6,2,2012,76
2012-01-15,2012,2,1,7,2,2012,52
2012-01-16,2012,3,1,1,3,2012,333
2012-01-17,2012,3,1,2,3,2012,284
2012-01-18,2012,3,1,3,3,2012,266
2012-01-19,2012,3,1,4,3,2012,240
2012-01-20,2012,3,1,5,3,2012,253
2012-01-21,2012,3,1,6,3,2012,64
2012-01-22,2012,3,1,7,3,2012,84
2012-01-23,2012,4,1,1,4,2012,365
2012-01-24,2012,4,1,2,4,2012,365
2012-01-25,2012,4,1,3,4,2012,328
2012-01-26,2012,4,1,4,4,2012,305
2012-01-27,2012,4,1,5,4,2012,314
2012-01-28,2012,4,1,6,4,2012,104
2012-01-29,2012,4,1,7,4,2012,66
2012-01-30,2012,5,1,1,5,2012,444
2012-01-31,2012,5,1,2,5,2012,444
2012-02-01,2012,5,2,3,5,2012,418
2012-02-02,2012,5,2,4,5,2012,333
2012-02-03,2012,5,2,5,5,2012,351
2012-02-04,2012,5,2,6,5,2012,124
2012-02-05,2012,5,2,7,5,2012,76
2012-02-06,2012,6,2,1,6,2012,637
2012-02-07,2012,6,2,2,6,2012,466
2012-02-08,2012,6,2,3,6,2012,402
2012-02-09,2012,6,2,4,6,2012,419
2012-02-10,2012,6,2,5,6,2012,441
2012-02-11,2012,6,2,6,6,2012,119
2012-02-12,2012,6,2,7,6,2012,71
2012-02-13,2012,7,2,1,7,2012,639
2012-02-14,2012,7,2,2,7,2012,420
2012-02-15,2012,7,2,3,7,2012,449
2012-02-16,2012,7,2,4,7,2012,413
2012-02-17,2012,7,2,5,7,2012,516
2012-02-18,2012,7,2,6,7,2012,133
2012-02-19,2012,7,2,7,7,2012,82
2012-02-20,2012,8,2,1,8,2012,598
2012-02-21,2012,8,2,2,8,2012,390
2012-02-22,2012,8,2,3,8,2012,275
2012-02-23,2012,8,2,4,8,2012,82
2012-02-24,2012,8,2,5,8,2012,377
2012-02-25,2012,8,2,6,8,2012,121
2012-02-26,2012,8,2,7,8,2012,64
2012-02-27,2012,9,2,1,9,2012,520
2012-02-28,2012,9,2,2,9,2012,524
2012-02-29,2012,9,2,3,9,2012,384
2012-03-01,2012,9,3,4,9,2012,372
2012-03-02,2012,9,3,5,9,2012,380
2012-03-03,2012,9,3,6,9,2012,133
2012-03-04,2012,9,3,7,9,2012,88
2012-03-05,2012,10,3,1,10,2012,488
2012-03-06,2012,10,3,2,10,2012,399
2012-03-07,2012,10,3,3,10,2012,283
2012-03-08,2012,10,3,4,10,2012,NA
2012-03-09,2012,10,3,5,10,2012,NA
2012-03-10,2012,10,3,6,10,2012,NA
2012-03-11,2012,10,3,7,10,2012,597
2012-03-12,2012,11,3,1,11,2012,523
2012-03-13,2012,11,3,2,11,2012,583
2012-03-14,2012,11,3,3,11,2012,470
2012-03-15,2012,11,3,4,11,2012,424
2012-03-16,2012,11,3,5,11,2012,424
2012-03-17,2012,11,3,6,11,2012,134
2012-03-18,2012,11,3,7,11,2012,117
2012-03-19,2012,12,3,1,12,2012,701
2012-03-20,2012,12,3,2,12,2012,486
2012-03-21,2012,12,3,3,12,2012,546
2012-03-22,2012,12,3,4,12,2012,451
2012-03-23,2012,12,3,5,12,2012,474
2012-03-24,2012,12,3,6,12,2012,171
2012-03-25,2012,12,3,7,12,2012,142
2012-03-26,2012,13,3,1,13,2012,608
2012-03-27,2012,13,3,2,13,2012,583
2012-03-28,2012,13,3,3,13,2012,518
2012-03-29,2012,13,3,4,13,2012,459
2012-03-30,2012,13,3,5,13,2012,487
2012-03-31,2012,13,3,6,13,2012,174
2012-04-01,2012,13,4,7,13,2012,103
2012-04-02,2012,14,4,1,14,2012,759
2012-04-03,2012,14,4,2,14,2012,608
2012-04-04,2012,14,4,3,14,2012,551
2012-04-05,2012,14,4,4,14,2012,617
2012-04-06,2012,14,4,5,14,2012,428
2012-04-07,2012,14,4,6,14,2012,191
2012-04-08,2012,14,4,7,14,2012,143
2012-04-09,2012,15,4,1,15,2012,840
2012-04-10,2012,15,4,2,15,2012,652
2012-04-11,2012,15,4,3,15,2012,580
2012-04-12,2012,15,4,4,15,2012,487
2012-04-13,2012,15,4,5,15,2012,487
2012-04-14,2012,15,4,6,15,2012,134
2012-04-15,2012,15,4,7,15,2012,82
2012-04-16,2012,16,4,1,16,2012,690
2012-04-17,2012,16,4,2,16,2012,514
2012-04-18,2012,16,4,3,16,2012,457
2012-04-19,2012,16,4,4,16,2012,356
2012-04-20,2012,16,4,5,16,2012,360
2012-04-21,2012,16,4,6,16,2012,120
2012-04-22,2012,16,4,7,16,2012,84
2012-04-23,2012,17,4,1,17,2012,485
2012-04-24,2012,17,4,2,17,2012,321
2012-04-25,2012,17,4,3,17,2012,404
2012-04-26,2012,17,4,4,17,2012,291
2012-04-27,2012,17,4,5,17,2012,94
2012-04-28,2012,17,4,6,17,2012,248
2012-04-29,2012,17,4,7,17,2012,67
2012-04-30,2012,18,4,1,18,2012,124
2012-05-01,2012,18,5,2,18,2012,54
2012-05-02,2012,18,5,3,18,2012,419
2012-05-03,2012,18,5,4,18,2012,280
2012-05-04,2012,18,5,5,18,2012,273
2012-05-05,2012,18,5,6,18,2012,186
2012-05-06,2012,18,5,7,18,2012,75
2012-05-07,2012,19,5,1,19,2012,100
2012-05-08,2012,19,5,2,19,2012,131
2012-05-09,2012,19,5,3,19,2012,58
2012-05-10,2012,19,5,4,19,2012,364
2012-05-11,2012,19,5,5,19,2012,279
2012-05-12,2012,19,5,6,19,2012,207
2012-05-13,2012,19,5,7,19,2012,52
2012-05-14,2012,20,5,1,20,2012,299
2012-05-15,2012,20,5,2,20,2012,247
2012-05-16,2012,20,5,3,20,2012,273
2012-05-17,2012,20,5,4,20,2012,237
2012-05-18,2012,20,5,5,20,2012,227
2012-05-19,2012,20,5,6,20,2012,78
2012-05-20,2012,20,5,7,20,2012,61
2012-05-21,2012,21,5,1,21,2012,347
2012-05-22,2012,21,5,2,21,2012,281
2012-05-23,2012,21,5,3,21,2012,279
2012-05-24,2012,21,5,4,21,2012,226
2012-05-25,2012,21,5,5,21,2012,217
2012-05-26,2012,21,5,6,21,2012,78
2012-05-27,2012,21,5,7,21,2012,68
2012-05-28,2012,22,5,1,22,2012,291
2012-05-29,2012,22,5,2,22,2012,269
2012-05-30,2012,22,5,3,22,2012,265
2012-05-31,2012,22,5,4,22,2012,184
2012-06-01,2012,22,6,5,22,2012,146
2012-06-02,2012,22,6,6,22,2012,83
2012-06-03,2012,22,6,7,22,2012,49
2012-06-04,2012,23,6,1,23,2012,297
2012-06-05,2012,23,6,2,23,2012,274
2012-06-06,2012,23,6,3,23,2012,195
2012-06-07,2012,23,6,4,23,2012,165
2012-06-08,2012,23,6,5,23,2012,218
2012-06-09,2012,23,6,6,23,2012,138
2012-06-10,2012,23,6,7,23,2012,58
2012-06-11,2012,24,6,1,24,2012,89
2012-06-12,2012,24,6,2,24,2012,79
2012-06-13,2012,24,6,3,24,2012,170
2012-06-14,2012,24,6,4,24,2012,165
2012-06-15,2012,24,6,5,24,2012,140
2012-06-16,2012,24,6,6,24,2012,56
2012-06-17,2012,24,6,7,24,2012,39
2012-06-18,2012,25,6,1,25,2012,186
2012-06-19,2012,25,6,2,25,2012,146
2012-06-20,2012,25,6,3,25,2012,188
2012-06-21,2012,25,6,4,25,2012,44
2012-06-22,2012,25,6,5,25,2012,161
2012-06-23,2012,25,6,6,25,2012,36
2012-06-24,2012,25,6,7,25,2012,46
2012-06-25,2012,26,6,1,26,2012,168
2012-06-26,2012,26,6,2,26,2012,119
2012-06-27,2012,26,6,3,26,2012,114
2012-06-28,2012,26,6,4,26,2012,117
2012-06-29,2012,26,6,5,26,2012,123
2012-06-30,2012,26,6,6,26,2012,57
2012-07-01,2012,26,7,7,26,2012,34
2012-07-02,2012,27,7,1,27,2012,160
2012-07-03,2012,27,7,2,27,2012,123
2012-07-04,2012,27,7,3,27,2012,176
2012-07-05,2012,27,7,4,27,2012,118
2012-07-06,2012,27,7,5,27,2012,138
2012-07-07,2012,27,7,6,27,2012,53
2012-07-08,2012,27,7,7,27,2012,40
2012-07-09,2012,28,7,1,28,2012,139
2012-07-10,2012,28,7,2,28,2012,140
2012-07-11,2012,28,7,3,28,2012,136
2012-07-12,2012,28,7,4,28,2012,99
2012-07-13,2012,28,7,5,28,2012,99
2012-07-14,2012,28,7,6,28,2012,45
2012-07-15,2012,28,7,7,28,2012,30
2012-07-16,2012,29,7,1,29,2012,164
2012-07-17,2012,29,7,2,29,2012,122
2012-07-18,2012,29,7,3,29,2012,118
2012-07-19,2012,29,7,4,29,2012,125
2012-07-20,2012,29,7,5,29,2012,115
2012-07-21,2012,29,7,6,29,2012,44
2012-07-22,2012,29,7,7,29,2012,28
2012-07-23,2012,30,7,1,30,2012,151
2012-07-24,2012,30,7,2,30,2012,99
2012-07-25,2012,30,7,3,30,2012,115
2012-07-26,2012,30,7,4,30,2012,118
2012-07-27,2012,30,7,5,30,2012,105
2012-07-28,2012,30,7,6,30,2012,40
2012-07-29,2012,30,7,7,30,2012,29
2012-07-30,2012,31,7,1,31,2012,130
2012-07-31,2012,31,7,2,31,2012,142
2012-08-01,2012,31,8,3,31,2012,115
2012-08-02,2012,31,8,4,31,2012,128
2012-08-03,2012,31,8,5,31,2012,116
2012-08-04,2012,31,8,6,31,2012,40
