epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2001-22,02.06.01,6,22,22,2001,2001-06-02,1.0,1.0,0.0,1.0,0.0
2001-22,03.06.01,7,22,22,2001,2001-06-03,1.0,1.0,0.0,0.0,1.0
2001-23,04.06.01,1,23,23,2001,2001-06-04,0.0,1.0,0.0,0.0,0.0
2001-23,05.06.01,2,23,23,2001,2001-06-05,0.0,1.0,0.0,0.0,0.0
2001-23,06.06.01,3,23,23,2001,2001-06-06,0.0,1.0,0.0,0.0,0.0
2001-23,07.06.01,4,23,23,2001,2001-06-07,0.0,1.0,0.0,0.0,0.0
2001-23,08.06.01,5,23,23,2001,2001-06-08,0.0,1.0,0.0,0.0,0.0
2001-23,09.06.01,6,23,23,2001,2001-06-09,0.0,1.0,1.0,0.0,0.0
2001-23,10.06.01,7,23,23,2001,2001-06-10,0.0,1.0,1.0,0.0,0.0
2001-24,11.06.01,1,24,24,2001,2001-06-11,0.0,1.0,0.1,0.0,0.0
2001-24,12.06.01,2,24,24,2001,2001-06-12,0.0,1.0,1.0,0.0,0.0
2001-24,13.06.01,3,24,24,2001,2001-06-13,0.0,1.0,0.0,0.0,0.0
2001-24,14.06.01,4,24,24,2001,2001-06-14,0.0,1.0,0.0,0.0,0.0
2001-24,15.06.01,5,24,24,2001,2001-06-15,0.0,1.0,0.0,0.0,0.0
2001-24,16.06.01,6,24,24,2001,2001-06-16,1.0,1.0,0.0,1.0,0.0
2001-24,17.06.01,7,24,24,2001,2001-06-17,1.0,1.0,0.0,0.0,1.0
2001-25,18.06.01,1,25,25,2001,2001-06-18,0.0,1.0,0.0,0.0,0.0
2001-25,19.06.01,2,25,25,2001,2001-06-19,0.0,1.0,0.0,0.0,0.0
2001-25,20.06.01,3,25,25,2001,2001-06-20,0.0,1.0,0.0,0.0,0.0
2001-25,21.06.01,4,25,25,2001,2001-06-21,0.0,1.0,0.0,0.0,0.0
2001-25,22.06.01,5,25,25,2001,2001-06-22,0.0,1.0,0.0,0.0,0.0
2001-25,23.06.01,6,25,25,2001,2001-06-23,1.0,1.0,0.0,1.0,0.0
2001-25,24.06.01,7,25,25,2001,2001-06-24,1.0,1.0,0.0,0.0,1.0
2001-26,25.06.01,1,26,26,2001,2001-06-25,0.0,1.0,0.0,0.0,0.0
2001-26,26.06.01,2,26,26,2001,2001-06-26,0.0,1.0,0.0,0.0,0.0
2001-26,27.06.01,3,26,26,2001,2001-06-27,0.0,1.0,0.0,0.0,0.0
2001-26,28.06.01,4,26,26,2001,2001-06-28,0.0,1.0,0.0,0.0,0.0
2001-26,29.06.01,5,26,26,2001,2001-06-29,0.0,1.0,0.0,0.0,0.0
2001-26,30.06.01,6,26,26,2001,2001-06-30,1.0,1.0,0.0,1.0,0.0
2001-26,01.07.01,7,26,26,2001,2001-07-01,1.0,1.0,0.0,0.0,1.0
2001-27,02.07.01,1,27,27,2001,2001-07-02,0.0,1.0,0.0,0.0,0.0
2001-27,03.07.01,2,27,27,2001,2001-07-03,0.0,1.0,0.0,0.0,0.0
2001-27,04.07.01,3,27,27,2001,2001-07-04,0.0,1.0,0.0,0.0,0.0
2001-27,05.07.01,4,27,27,2001,2001-07-05,0.0,1.0,0.0,0.0,0.0
2001-27,06.07.01,5,27,27,2001,2001-07-06,0.0,1.0,0.0,0.0,0.0
2001-27,07.07.01,6,27,27,2001,2001-07-07,1.0,1.0,0.0,1.0,0.0
2001-27,08.07.01,7,27,27,2001,2001-07-08,1.0,1.0,0.0,0.0,1.0
2001-28,09.07.01,1,28,28,2001,2001-07-09,0.0,1.0,0.0,0.0,0.0
2001-28,10.07.01,2,28,28,2001,2001-07-10,0.0,1.0,0.0,0.0,0.0
2001-28,11.07.01,3,28,28,2001,2001-07-11,0.0,1.0,0.0,0.0,0.0
2001-28,12.07.01,4,28,28,2001,2001-07-12,0.0,1.0,0.0,0.0,0.0
2001-28,13.07.01,5,28,28,2001,2001-07-13,0.0,1.0,0.0,0.0,0.0
